Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
A00001,182621,14592.0,Salaried,35,Married,0.0,581,1,0.45,777246,479895.0,342632,24,Education,Rural,Undergraduate,Male,Self,No
A00002,67124,,Salaried,58,Married,2.0,525,3,0.3,11814,,633408,12,Home,Semi-Urban,Graduate,Female,Private,No
A00003,173263,34671.0,Business,28,Single,4.0,770,4,0.6,87627,,843844,24,Home,Urban,Undergraduate,Male,Private,Yes
A00004,35916,30512.0,Business,50,Single,,689,2,0.31,387554,,1383126,180,Home,Rural,Undergraduate,Male,Self,No
A00005,79175,,Salaried,56,Single,3.0,688,2,0.24,722870,1410140.0,510566,36,Home,Urban,Undergraduate,Female,Govt,No
A00006,186819,,Self-Employed,37,Single,2.0,769,1,0.55,263607,,342826,24,Education,Rural,Postgraduate,Male,Govt,Yes
A00007,43743,20033.0,Unemployed,25,Married,,732,4,0.42,405156,,856915,180,Home,Rural,Undergraduate,Female,Self,No
A00008,104174,,Salaried,50,Single,,745,1,0.4,762168,1154733.0,56805,120,Education,Urban,Postgraduate,Male,Self,Yes
A00009,154029,,Business,28,Married,0.0,800,0,0.24,327451,1054335.0,811225,180,Business,Urban,Undergraduate,Male,Govt,Yes
A00010,187949,62296.0,Self-Employed,59,Single,3.0,571,4,0.53,227086,2311971.0,937384,120,Business,Urban,Graduate,Male,Govt,No
A00011,103627,2757.0,Self-Employed,25,Married,4.0,525,0,0.64,66733,1010251.0,1373518,24,Personal,Rural,Postgraduate,Male,Self,No
A00012,49684,,Self-Employed,47,Single,,548,3,0.31,103907,,449318,12,Home,Urban,Postgraduate,Female,Govt,No
A00013,80183,25112.0,Salaried,29,Single,4.0,849,3,0.25,197401,,934749,12,Home,Rural,Undergraduate,Male,Govt,Yes
A00014,76965,,Self-Employed,34,Single,3.0,797,3,0.1,66483,,891042,36,Business,Rural,Undergraduate,Female,Govt,Yes
A00015,64780,38890.0,Self-Employed,55,Married,0.0,359,4,0.13,789309,1365353.0,177837,120,Home,Urban,Graduate,Male,Self,No
A00016,76657,52923.0,Business,58,Single,2.0,883,1,0.35,46672,2647874.0,1296797,24,Personal,Urban,Postgraduate,Female,Govt,Yes
A00017,191079,,Salaried,25,Single,1.0,768,2,0.14,485547,2655330.0,69535,36,Home,Urban,Postgraduate,Female,Govt,Yes
A00018,129867,,Salaried,56,Married,2.0,841,0,0.26,700613,484473.0,677842,36,Education,Rural,Postgraduate,Male,Self,Yes
A00019,181261,,Salaried,26,Single,1.0,557,0,0.1,449151,1210480.0,1380190,180,Business,Rural,Undergraduate,Female,Self,No
A00020,17534,14663.0,Salaried,23,Single,2.0,452,4,0.36,615805,2367458.0,824302,240,Home,Semi-Urban,Graduate,Male,Self,No
A00021,41946,,Self-Employed,31,Single,,458,1,0.54,437322,153961.0,421305,240,Education,Semi-Urban,Graduate,Male,Private,No
A00022,25151,61694.0,Self-Employed,43,Single,2.0,504,3,0.5,243651,985009.0,690031,240,Home,Semi-Urban,Postgraduate,Female,Self,No
A00023,155565,43404.0,Self-Employed,32,Single,3.0,418,2,0.46,283361,210462.0,1267584,120,Home,Semi-Urban,Undergraduate,Male,Private,No
A00024,26635,,Salaried,55,Single,4.0,301,4,0.32,759377,2862819.0,1490443,36,Home,Rural,Postgraduate,Female,Self,No
A00025,122057,,Salaried,29,Single,3.0,602,4,0.51,445869,,452317,120,Home,Semi-Urban,Postgraduate,Male,Private,No
A00026,167039,,Unemployed,49,Married,,776,3,0.58,229082,,1466893,12,Personal,Rural,Undergraduate,Female,Govt,No
A00027,76569,,Salaried,30,Single,3.0,530,1,0.47,53458,,101223,180,Education,Rural,Undergraduate,Female,Private,No
A00028,119766,31979.0,Unemployed,48,Married,3.0,305,0,0.13,189430,,508943,24,Business,Rural,Undergraduate,Female,Private,Yes
A00029,175603,,Self-Employed,31,Single,,861,3,0.6,476932,1137128.0,1045464,24,Personal,Semi-Urban,Graduate,Female,Govt,No
